r,timing_ns,result,num_iters
5848,52642.31880266332,1268,5244
50710,454921.13511889626,44428,45472
42888,384784.49391904473,34934,38458
28756,258052.56960438952,5518,25786
28372,254608.08859949984,48727,25441
56256,504647.72363859194,58179,50445
5632,50691.902672831726,21478,5050
45692,409912.13733503374,61356,40972
13201,118564.79047713098,39477,11837
6171,55527.69115040534,43241,5533
34495,309519.2818001748,23658,30932
63923,573400.9268258951,2701,57321
48207,432480.2807577278,12290,43228
49870,447392.82802608825,28381,44719
47010,421745.727197302,53306,42154
51503,462033.1663720714,50919,46183
33627,301745.28043049475,524,30154
8395,75471.74849075124,63263,7527
55021,493586.4628025558,28736,49338
29510,264820.2719379925,13838,26462
32784,294173.22357907606,4778,29398
24295,218052.09458889868,53445,21785
11961,107439.88723704548,43869,10725
60722,544700.6757290908,41938,54450
51209,459400.28382294415,9266,45920
42187,378489.08069851494,61089,37829
26367,236635.54165791083,53715,23643
53908,483611.12181835726,25492,48340
35737,320655.0281945059,5732,32046
29053,260724.24051849637,26870,26052
29515,264854.41048313375,45524,26466
14889,133719.45036322257,17435,13351
6037,54334.52234145039,32725,5413
36337,326030.78524493176,7834,32584
58175,521861.20220246474,45464,52166
4182,37714.02139293735,5478,3750
56236,504471.8570188643,62477,50427
54227,486460.64001588576,29012,48626
18134,162811.76325290435,8055,16261
41387,371321.9819894789,36446,37112
10826,97269.4611993105,58457,9707
49670,445607.11737150117,5840,44540
45899,411784.85192067904,36528,41158
23229,208490.1120490998,59757,20829
4451,40118.335925821244,19743,3991
63601,570518.5271308983,19482,57032
29202,262062.2213432057,1402,26186
58518,524953.9391669731,17618,52474
44418,398502.4469949378,33742,39830
51000,457518.5966244293,47628,45732
49789,446659.6315237139,52340,44646
12753,114550.5325170408,57127,11435
23844,214002.66739211796,25875,21381
30580,274411.4484474518,45979,27421
32616,292673.7058297825,27777,29247
2871,25942.983060924726,31680,2574
35812,321334.3343215642,22375,32113
10110,90859.36627102512,55075,9065
48706,436958.1608335111,42649,43675
44754,401510.1968528875,53265,40131
60445,542225.9739178326,16288,54202
48797,437764.725077127,16541,43757
24023,215615.02863181668,59481,21541
63392,568639.7704973757,57844,56844
26919,241574.41729521868,53028,24138
21349,191631.8302791744,5122,19144
59331,532233.5678440657,19811,53203
24273,217859.92622900993,5756,21766
5003,45065.70916592449,19056,4486
30766,276076.26415802224,32216,27588
52133,467674.50776015304,46574,46748
12415,111522.48886014975,51138,11132
30332,272191.59507263236,20649,27199
8513,76528.20201952923,51009,7633
44979,403526.3781573343,37673,40333
31169,279681.52031366754,56997,27949
21635,194203.3347592417,35390,19400
14868,133524.1920667854,28500,13332
36987,331861.18047792517,64712,33166
43887,393737.6243728037,23364,39354
61609,552654.4416247136,2020,55246
28643,257031.63539711878,49458,25684
10529,94616.26453026565,37105,9441
54558,489438.77638132253,16849,48923
41263,370206.8891751825,23781,37001
45882,411620.6131087199,20525,41143
6371,57336.04905394306,261,5713
20467,183728.9256942679,11205,18353
50310,451332.2096719412,64867,45113
54530,489181.0498284688,9762,48898
28516,255895.88716527558,57094,25570
52729,473033.10419277666,10223,47283
55148,494713.572074685,21100,49452
25388,227851.38980239478,60987,22765
58843,527859.4377832628,46057,52765
18892,169599.81214945047,54828,16940
15696,140944.60677440464,60230,14074
44718,401197.7330385505,34793,40099
41721,374319.23639881273,3982,37412
9157,82315.03659303201,17447,8211
54561,489446.7909400088,62069,48925
13098,117657.23686464145,15747,11745
52737,473096.679275967,21608,47290
483,4529.441707847617,7589,433
52210,468361.70522677083,49683,46817
51560,462535.7217651116,58326,46234
51130,458685.85041303164,19691,45849
43562,390814.8652387583,60446,39062
30898,277264.15552151966,56266,27706
46203,414519.1591877637,10511,41431
